"country","enep","mdm","ethFrac"
"Albania",3.1800000667572,11.1000003814697,0.0965999960899353
"Argentina",6.61999988555908,10.6999998092651,0.254899978637695
"Australia",2.85999989509583,0.899999976158142,0.148503959178925
"Austria",4.78999996185303,20.2999992370605,0.125631034374237
"Bangladesh",2.77999997138977,1,0.223349988460541
"Armenia",5.26000022888184,62.1500015258789,0.133799970149994
"Belgium",10.039999961853,13.6300001144409,0.567000031471252
"Bhutan",1.78999996185303,1,0.605000019073486
"Bolivia",2.05999994277954,1.69000005722046,0.743399977684021
"Brazil",11.2600002288818,19,0.549499988555908
"Bulgaria",4.40000009536743,7.73999977111816,0.299485146999359
"Canada",3.86999988555908,1,0.59634006023407
"Sri Lanka",2.20000004768372,9.80000019073486,0.428470969200134
"Chile",7.32000017166138,2,0.496999979019165
"Taiwan",2.40000009536743,11.5,0.274400055408478
"Colombia",5.96000003814697,5,0.656000018119812
"Costa Rica",4.75,8.10000038146973,0.237599968910217
"Croatia",4.23000001907349,13.3900003433228,0.375154972076416
"Cyprus (1975-)",4.28999996185303,13.3000001907349,0.359200060367584
"Czech Republic",6.75,14.289999961853,0.321595013141632
"Benin",2.00999999046326,3.46000003814697,0.622277975082397
"Denmark",5.71999979019165,10.5,0.127543985843658
"Dominican Republic",2.91000008583069,6.09999990463257,0.386799991130829
"Ecuador",3.85999989509583,2.74000000953674,0.654999971389771
"El Salvador",2.92000007629395,8.23999977111816,0.197800040245056
"Estonia",4.73000001907349,9.19999980926514,0.51104998588562
"Finland",6.46000003814697,13.3299999237061,0.131500005722046
"France (1963-)",4.32000017166138,1,0.272073984146118
"Georgia",2.50999999046326,2.47000002861023,0.490125775337219
"Ghana",2.39000010490417,1,0.846050024032593
"Greece",3.16000008583069,5.40000009536743,0.0586669445037842
"Guatemala",6.3899998664856,10.7220001220703,0.492799997329712
"Honduras",2.46000003814697,7.09999990463257,0.185011029243469
"Hungary",2.8199999332428,13.8199996948242,0.186424016952515
"India",7.73999977111816,1,0.81098860502243
"Indonesia",9.59000015258789,16.9699993133545,0.765783846378326
"Ireland",4.42999982833862,4,0.170999944210052
"Israel",7.36999988555908,120,0.525532960891724
"Italy",3.8199999332428,22.5,0.0395999550819397
"Jamaica",2,1,0.166401922702789
"Japan",3.15000009536743,1.53999996185303,0.011963963508606
"Korea, South",4.23999977111816,1.20000004768372,0.00399595499038696
"Kyrgyzstan",4.42999982833862,90,0.679358005523682
"Latvia",4.59000015258789,20,0.585049986839294
"Liberia",8.30000019073486,1,0.899182021617889
"Lithuania",8.89999961853027,35.2999992370605,0.337639033794403
"Madagascar",2.92000007629395,1.28999996185303,0.86148202419281
"Malawi",5.01999998092651,1,0.82889997959137
"Mauritius",2.39000010490417,3,0.631531000137329
"Mexico",3.76999998092651,80.5999984741211,0.541778922080994
"Mongolia",2.25999999046326,2.90000009536743,0.27177494764328
"Moldova",3.70000004768372,101,0.510300993919373
"Netherlands",6.96999979019165,8.30000019073486,0.0768000483512878
"New Zealand",3.0699999332428,21.4200000762939,0.363465964794159
"Nicaragua",2.10999989509583,7.59999990463257,0.401800036430359
"Niger",4.40000009536743,7,0.636899948120117
"Nigeria",2.08999991416931,1,0.804800033569336
"Norway",4.55000019073486,8.89999961853027,0.0975000262260437
"Pakistan (1971-)",4.67999982833862,1,0.532099962234497
"Panama",4.15999984741211,1,0.506699979305267
"Paraguay",4.3600001335144,4.40000009536743,0.132200002670288
"Peru",5.71000003814697,4.80000019073486,0.637899994850159
"Poland",3.3199999332428,11.1999998092651,0.0472549796104431
"Portugal",3.82999992370605,10.5,0.0395999550819397
"Guinea-Bissau",2.97000002861023,3.79999995231628,0.817700028419495
"Romania",3.9300000667572,1,0.299761056900024
"Senegal",2.03999996185303,4.30000019073486,0.727499961853027
"Sierra Leone",3.03999996185303,1,0.763996958732605
"Slovakia",6.1100001335144,150,0.331514000892639
"Slovenia",4.94000005722046,10,0.231123030185699
"Spain",2.78999996185303,6.69999980926514,0.502161979675293
"Sweden",4.78000020980835,11.6000003814697,0.189471065998077
"Switzerland",6.34999990463257,7.69999980926514,0.575165033340454
"Thailand",2.75999999046326,2.90000009536743,0.431374967098236
"Trinidad and Tobago",1.95000004768372,1,0.646919012069702
"Turkey",2.89000010490417,7,0.298503994941711
"Ukraine",4.17000007629395,450,0.418599963188171
"Macedonia",3.20000004768372,20,0.534899950027466
"United Kingdom",3.71000003814697,1,0.324487388134003
"United States",2.15000009536743,1,0.490957021713257
"Uruguay",2.75,5.19999980926514,0.217599987983704
"Venezuela",2.19000005722046,6.80000019073486,0.48327499628067
